Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
3000,Ounce of Prevention - Site Locations.csv, Ounce of Prevention Fund - Educare of Chicago,5044 S. Wabash Ave ,60615,9242334,,,,,,,,,,,,,,,,,,,,,,,Grand Boulevard Community; Serves children ages 0-5,,,
3001,Ounce of Prevention - Site Locations.csv, Ounce of Prevention Fund - Doula Home Visiting,"Hayes Center
4859 S. Wabash
",60615,3738670,,,,,,,,,,,,,,,,,,,,,,,Grand Boulevard Community; Serves children ages 0-5,,,
3002,Ounce of Prevention - Site Locations.csv, Aunt Martha's - Riverdale Site,"14424 Wentworth Avenue
Riverdale, IL 60827",,8496019,,,,,,,,,,,,,,,,,,,,,,,Park Forest and Riverdale Communities; Serves children ages 3-5,,,
3003,Ounce of Prevention - Site Locations.csv, Aunt Martha's - Park Forest Site,"23485 Western Avenue 
Park Forest, IL 60466",,7472780,,,,,,,,,,,,,,,,,,,,,,,Park Forest and Riverdale Communities; Serves children ages 3-5,,,
3004,Ounce of Prevention - Site Locations.csv, Casa Central - ABC Home-Based Head Start,"1349 N. California
",60622,6452404,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park Community; Serves children ages 3-5,,,
3005,Ounce of Prevention - Site Locations.csv, Casa Central - APP Home Based Head Start,"2222 N. Kedzie Ave.
",60647,7828819,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park Community; Serves children ages 3-5,,,
3006,Ounce of Prevention - Site Locations.csv, Casa Central - Casa Infantil,"2222 N. Kedzie Ave.
",60647,7721170,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park Community; Serves children ages 3-5,,,
3007,Ounce of Prevention - Site Locations.csv, Casa Central - Community Service Center,"1343 N. California Ave. 
",60622,6452300,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park Community; Serves children ages 3-5,,,
3008,Ounce of Prevention - Site Locations.csv, Casa Central - Munoz Marin-Lowell Early Childhood Center,"3320 W. Evergreen Ave.
",60651,5344315,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park Community; Serves children ages 3-5,,,
3009,Ounce of Prevention - Site Locations.csv, Centers for New Horizons - Effie Ellis II Center,"4301 S. Cottage Grove Ave 
",60653,5489839,,,,,,,,,,,,,,,,,,,,,,,Grand Boulevard Community; Serves children 0-3,,,
3010,Ounce of Prevention - Site Locations.csv, Children's Home and Aid Society - Mitzi Freidheim Englewood Child + Family Center,"1701 W. 63rd St.
",60636,4766998,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park and Englewood Communities; Serves children ages 3-5,,,
3011,Ounce of Prevention - Site Locations.csv, Children's Home and Aid Society - Viva Home Based,"2516 W. Division
",60622,2529100,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park and Englewood Communities; Serves children ages 3-5,,,
3012,Ounce of Prevention - Site Locations.csv, Children's Place Association - Family Center,"1800 N. Humboldt Blvd.
",60647,3959193,,,,,,,,,,,,,,,,,,,,,,,Humboldt Park and City of Chicago Communities; Serves children ages 0-5,,,
3013,Ounce of Prevention - Site Locations.csv, One Hope United - Bridgeport Child Development Center,"3053 South Normal Ave.
",60616,8425566,,,,,,,,,,,,,,,,,,,,,,,Bridgeport and Rogers Park Communities; Serves children ages 3-5,,,
3014,Ounce of Prevention - Site Locations.csv, One Hope United - Bridgeport Child Development Center II,"514 W. 31st St.
",60616,9494015,,,,,,,,,,,,,,,,,,,,,,,Bridgeport and Rogers Park Communities; Serves children ages 3-5,,,
3015,Ounce of Prevention - Site Locations.csv, One Hope United - Edgewater Early Learning Center,"5244 North Lakewood St.
",60640,9070278,,,,,,,,,,,,,,,,,,,,,,,Bridgeport and Rogers Park Communities; Serves children ages 3-5,,,
3016,Ounce of Prevention - Site Locations.csv, SGA Youth and Family Services - SGA Youth & Family Services,"Early Head Start Home Based
11 E. Adams, Suite 1500
",60603,4474356,,,,,,,,,,,,,,,,,,,,,,,Brighton Park and McKinley Park; Services children ages 0-3; Home Visiting,,,
3017,Ounce of Prevention - Site Locations.csv, SGA Youth and Family Services - Program Site,"4222 S. Archer Ave.
",60632,,,,,,,,,,,,,,,,,,,,,,,,Brighton Park and McKinley Park; Services children ages 0-3; Home Visiting,,,
